word,n,mean_human,mean_ai,mean_diff,mae,mismatch_rate
can,103,1.9514563106796117,1.8058252427184467,0.14563106796116504,0.20388349514563106,0.1941747572815534
it,100,1.98,1.97,0.01,0.05,0.04
loves,57,1.7017543859649122,1.8596491228070176,-0.15789473684210525,0.3333333333333333,0.2807017543859649
is,57,1.9649122807017543,1.912280701754386,0.05263157894736842,0.12280701754385964,0.10526315789473684
zara,56,1.9285714285714286,1.5,0.42857142857142855,0.4642857142857143,0.44642857142857145
this,56,1.9285714285714286,1.9107142857142858,0.017857142857142856,0.16071428571428573,0.125
to,56,1.9642857142857142,1.9285714285714286,0.03571428571428571,0.10714285714285714,0.08928571428571429
draw,54,1.8518518518518519,1.6296296296296295,0.2222222222222222,0.37037037037037035,0.3333333333333333
she,54,1.8888888888888888,1.8148148148148149,0.07407407407407407,0.2962962962962963,0.24074074074074073
i,54,2.0,1.9444444444444444,0.05555555555555555,0.05555555555555555,0.05555555555555555
locked,53,1.3773584905660377,1.169811320754717,0.20754716981132076,0.5849056603773585,0.5849056603773585
it's,53,1.849056603773585,1.6226415094339623,0.22641509433962265,0.33962264150943394,0.2641509433962264
open,53,1.9433962264150944,1.8867924528301887,0.05660377358490566,0.16981132075471697,0.1320754716981132
we,51,1.9215686274509804,1.5294117647058822,0.39215686274509803,0.5098039215686274,0.45098039215686275
on,51,1.9215686274509804,1.5686274509803921,0.35294117647058826,0.47058823529411764,0.45098039215686275
do,51,1.9411764705882353,1.8627450980392157,0.0784313725490196,0.1568627450980392,0.13725490196078433
build,49,1.8571428571428572,1.2244897959183674,0.6326530612244898,0.673469387755102,0.42857142857142855
things,49,1.836734693877551,1.3877551020408163,0.4489795918367347,0.4897959183673469,0.3877551020408163
he,49,1.9591836734693877,1.8775510204081634,0.08163265306122448,0.16326530612244897,0.12244897959183673
faiz,48,1.75,1.0,0.75,1.0,0.8333333333333334
together,47,1.7659574468085106,1.0425531914893618,0.723404255319149,0.7659574468085106,0.6382978723404256
come,47,1.9787234042553192,1.3404255319148937,0.6382978723404256,0.6382978723404256,0.44680851063829785
